Registered Voters,Ballots Cast,Turnout,
"1,497,292","1,105,998",73.87%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,835,545,65.27%
2,825,585,70.91%
3,587,465,79.22%
4,678,483,71.24%
5,796,617,77.51%
6,646,468,72.45%
7,707,478,67.61%
8,752,560,74.47%
9,578,405,70.07%
10,792,606,76.52%
11,591,439,74.28%
12,821,683,83.19%
13,858,596,69.46%
14,599,458,76.46%
15,624,373,59.78%
16,308,204,66.23%
17,562,431,76.69%
18,640,461,72.03%
19,492,324,65.85%
20,671,506,75.41%
21,555,426,76.76%
22,656,412,62.80%
23,560,419,74.82%
24,798,617,77.32%
25,645,434,67.29%
26,688,525,76.31%
27,564,368,65.25%
28,519,323,62.24%
29,676,515,76.18%
30,912,672,73.68%
31,883,740,83.81%
32,728,489,67.17%
33,722,518,71.75%
34,556,375,67.45%
35,607,507,83.53%
36,721,543,75.31%
37,676,464,68.64%
38,453,313,69.09%
39,744,520,69.89%
40,397,250,62.97%
41,626,412,65.81%
42,602,454,75.42%
43,651,408,62.67%
44,598,423,70.74%
45,764,500,65.45%
46,699,520,74.39%
47,708,542,76.55%
48,450,325,72.22%
49,483,364,75.36%
50,605,421,69.59%
Total,"32,608","23,486",72.03%
,,,
Ward 2,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1173,993,84.65%
2,347,217,62.54%
3,1079,745,69.05%
4,619,481,77.71%
5,734,534,72.75%
6,1112,891,80.13%
7,618,533,86.25%
8,827,685,82.83%
9,591,531,89.85%
10,488,409,83.81%
11,691,613,88.71%
12,1153,888,77.02%
13,797,587,73.65%
14,543,482,88.77%
15,416,335,80.53%
16,1217,977,80.28%
17,665,469,70.53%
18,591,492,83.25%
19,875,769,87.89%
20,675,537,79.56%
21,600,477,79.50%
22,789,666,84.41%
23,468,366,78.21%
24,1001,711,71.03%
25,974,762,78.23%
26,620,521,84.03%
27,586,418,71.33%
28,693,455,65.66%
29,444,319,71.85%
30,866,729,84.18%
31,572,440,76.92%
32,504,388,76.98%
33,671,343,51.12%
34,508,381,75.00%
35,592,233,39.36%
36,955,812,85.03%
37,538,461,85.69%
38,903,809,89.59%
39,786,606,77.10%
40,1430,1164,81.40%
41,451,325,72.06%
42,287,251,87.46%
43,683,554,81.11%
44,438,324,73.97%
45,847,550,64.94%
46,689,533,77.36%
47,537,343,63.87%
48,490,325,66.33%
49,601,430,71.55%
50,516,386,74.81%
51,555,419,75.50%
52,909,653,71.84%
53,880,686,77.95%
54,795,698,87.80%
55,350,301,86.00%
56,568,401,70.60%
Total,"39,307","30,408",77.36%
,,,
Ward 3,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,585,432,73.85%
2,618,506,81.88%
3,685,589,85.99%
4,459,333,72.55%
5,551,361,65.52%
6,627,403,64.27%
7,555,418,75.32%
8,728,546,75.00%
9,505,396,78.42%
10,313,202,64.54%
11,603,458,75.95%
12,595,424,71.26%
13,488,262,53.69%
14,346,267,77.17%
15,741,512,69.10%
16,439,330,75.17%
17,356,265,74.44%
18,347,230,66.28%
19,290,140,48.28%
20,432,351,81.25%
21,395,264,66.84%
22,340,246,72.35%
23,659,485,73.60%
24,716,555,77.51%
25,474,335,70.68%
26,251,187,74.50%
27,649,428,65.95%
28,1088,979,89.98%
29,398,374,93.97%
30,442,318,71.95%
31,707,580,82.04%
32,494,397,80.36%
33,823,600,72.90%
34,413,334,80.87%
35,564,444,78.72%
36,285,177,62.11%
37,249,169,67.87%
38,635,511,80.47%
39,569,422,74.17%
40,499,373,74.75%
41,581,366,62.99%
42,603,459,76.12%
43,274,152,55.47%
44,319,192,60.19%
45,747,575,76.97%
46,189,121,64.02%
47,415,269,64.82%
48,494,323,65.38%
49,205,163,79.51%
50,492,335,68.09%
Total,"25,232","18,558",73.55%
,,,
Ward 4,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,912,776,85.09%
2,771,668,86.64%
3,774,643,83.07%
4,778,581,74.68%
5,740,585,79.05%
6,190,154,81.05%
7,782,581,74.30%
8,796,588,73.87%
9,833,708,84.99%
10,702,590,84.05%
11,612,563,91.99%
12,401,290,72.32%
13,437,360,82.38%
14,649,477,73.50%
15,536,416,77.61%
16,860,640,74.42%
17,659,526,79.82%
18,708,552,77.97%
19,696,573,82.33%
20,420,368,87.62%
21,718,571,79.53%
22,674,565,83.83%
23,474,378,79.75%
24,698,539,77.22%
25,516,412,79.84%
26,714,591,82.77%
27,539,443,82.19%
28,428,337,78.74%
29,468,408,87.18%
30,465,413,88.82%
31,386,349,90.41%
32,628,520,82.80%
33,497,428,86.12%
34,458,367,80.13%
35,499,385,77.15%
36,444,365,82.21%
37,231,101,43.72%
38,815,687,84.29%
39,438,373,85.16%
40,718,556,77.44%
41,391,280,71.61%
42,602,540,89.70%
43,382,334,87.43%
44,386,338,87.56%
45,754,631,83.69%
46,474,384,81.01%
47,931,726,77.98%
48,612,516,84.31%
49,551,367,66.61%
50,608,473,77.80%
51,523,471,90.06%
52,726,575,79.20%
Total,"31,004","25,062",80.83%
,,,
Ward 5,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,773,572,74.00%
2,659,463,70.26%
3,345,261,75.65%
4,407,317,77.89%
5,687,504,73.36%
6,757,565,74.64%
7,674,500,74.18%
8,651,554,85.10%
9,595,463,77.82%
10,599,459,76.63%
11,480,410,85.42%
12,528,345,65.34%
13,577,457,79.20%
14,690,567,82.17%
15,490,382,77.96%
16,572,408,71.33%
17,693,544,78.50%
18,641,496,77.38%
19,406,292,71.92%
20,490,317,64.69%
21,703,513,72.97%
22,533,448,84.05%
23,543,346,63.72%
24,365,314,86.03%
25,795,570,71.70%
26,700,568,81.14%
27,984,684,69.51%
28,606,481,79.37%
29,582,464,79.73%
30,498,410,82.33%
31,635,516,81.26%
32,749,632,84.38%
33,354,271,76.55%
34,698,535,76.65%
35,479,393,82.05%
36,515,349,67.77%
37,453,373,82.34%
38,530,424,80.00%
39,657,529,80.52%
40,816,606,74.26%
41,526,420,79.85%
42,754,565,74.93%
43,576,454,78.82%
44,734,570,77.66%
45,397,276,69.52%
46,711,535,75.25%
47,582,470,80.76%
48,378,315,83.33%
49,153,108,70.59%
50,646,421,65.17%
51,522,382,73.18%
52,150,119,79.33%
53,570,471,82.63%
54,810,605,74.69%
55,504,418,82.94%
Total,"31,922","24,431",76.53%
,,,
Ward 6,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,609,488,80.13%
2,634,494,77.92%
3,635,508,80.00%
4,712,489,68.68%
5,544,335,61.58%
