Registered Voters,Ballots Cast,Turnout,
"1,364,371","1,028,870",75.41%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,681,500,73.42%
2,601,432,71.88%
3,798,631,79.07%
4,738,569,77.10%
5,754,585,77.59%
6,708,538,75.99%
7,674,491,72.85%
8,690,507,73.48%
9,716,564,78.77%
10,733,565,77.08%
11,777,635,81.72%
12,819,597,72.89%
13,747,527,70.55%
14,704,573,81.39%
15,659,489,74.20%
16,844,615,72.87%
17,604,447,74.01%
18,691,494,71.49%
19,852,611,71.71%
20,613,451,73.57%
21,803,630,78.46%
22,469,309,65.88%
23,846,685,80.97%
24,685,463,67.59%
25,681,481,70.63%
26,588,325,55.27%
27,732,517,70.63%
28,625,473,75.68%
29,667,512,76.76%
30,726,479,65.98%
31,701,507,72.33%
32,689,486,70.54%
33,764,531,69.50%
34,750,549,73.20%
35,755,539,71.39%
36,704,602,85.51%
37,712,548,76.97%
38,687,529,77.00%
39,679,443,65.24%
40,697,526,75.47%
Total,"28,363","20,955",73.88%
,,,
Ward 2,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,765,567,74.12%
2,593,502,84.65%
3,750,636,84.80%
4,721,559,77.53%
5,791,633,80.03%
6,733,568,77.49%
7,760,565,74.34%
8,806,611,75.81%
9,730,606,83.01%
10,709,574,80.96%
11,613,539,87.93%
12,686,579,84.40%
13,690,646,93.62%
14,731,573,78.39%
15,730,556,76.16%
16,690,527,76.38%
17,826,630,76.27%
18,597,511,85.59%
19,546,478,87.55%
20,749,588,78.50%
21,742,573,77.22%
22,710,589,82.96%
23,569,472,82.95%
24,706,552,78.19%
25,742,599,80.73%
26,740,566,76.49%
27,695,590,84.89%
28,809,697,86.16%
29,778,668,85.86%
30,657,549,83.56%
31,904,753,83.30%
32,622,515,82.80%
33,966,884,91.51%
34,547,463,84.64%
35,793,650,81.97%
36,578,491,84.95%
37,623,578,92.78%
38,694,605,87.18%
39,570,430,75.44%
40,764,729,95.42%
41,749,567,75.70%
42,814,713,87.59%
43,753,682,90.57%
44,439,407,92.71%
45,765,647,84.58%
46,456,365,80.04%
Total,"32,401","26,782",82.66%
,,,
Ward 3,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,868,747,86.06%
2,686,640,93.29%
3,751,675,89.88%
4,767,652,85.01%
5,679,504,74.23%
6,763,682,89.38%
7,654,551,84.25%
8,651,563,86.48%
9,708,608,85.88%
10,663,428,64.56%
11,736,660,89.67%
12,726,622,85.67%
13,730,671,91.92%
14,677,592,87.44%
15,725,615,84.83%
16,743,592,79.68%
17,631,543,86.05%
18,937,858,91.57%
19,680,579,85.15%
20,749,561,74.90%
21,804,695,86.44%
22,776,662,85.31%
23,721,630,87.38%
24,692,649,93.79%
25,826,720,87.17%
26,782,668,85.42%
27,650,567,87.23%
28,640,480,75.00%
29,776,633,81.57%
30,721,629,87.24%
31,746,667,89.41%
32,704,649,92.19%
33,780,674,86.41%
34,790,688,87.09%
35,533,342,64.17%
36,677,439,64.84%
37,731,623,85.23%
38,642,529,82.40%
39,693,604,87.16%
40,812,706,86.95%
41,717,497,69.32%
Total,"29,737","25,094",84.39%
,,,
Ward 4,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,842,774,91.92%
2,771,682,88.46%
3,713,583,81.77%
4,782,705,90.15%
5,656,585,89.18%
6,812,748,92.12%
7,760,648,85.26%
8,765,710,92.81%
9,734,693,94.41%
10,775,701,90.45%
11,831,708,85.20%
12,792,690,87.12%
13,590,517,87.63%
14,771,658,85.34%
15,745,689,92.48%
16,748,655,87.57%
17,741,716,96.63%
18,711,608,85.51%
19,831,748,90.01%
20,693,577,83.26%
21,806,782,97.02%
22,768,635,82.68%
23,865,799,92.37%
24,772,635,82.25%
25,694,620,89.34%
26,735,646,87.89%
27,764,660,86.39%
28,757,737,97.36%
29,651,593,91.09%
30,919,817,88.90%
31,652,603,92.48%
32,734,645,87.87%
33,791,703,88.87%
34,671,665,99.11%
35,916,816,89.08%
36,840,722,85.95%
37,727,609,83.77%
38,788,703,89.21%
Total,"28,913","25,785",89.18%
,,,
Ward 5,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,695,574,82.59%
2,727,566,77.85%
3,612,550,89.87%
4,796,656,82.41%
5,699,649,92.85%
6,614,474,77.20%
7,602,592,98.34%
8,639,556,87.01%
9,720,628,87.22%
10,692,615,88.87%
11,654,576,88.07%
12,744,546,73.39%
13,710,612,86.20%
14,621,487,78.42%
15,657,545,82.95%
16,702,607,86.47%
17,725,610,84.14%
18,551,494,89.66%
19,613,543,88.58%
20,688,648,94.19%
21,634,531,83.75%
22,665,597,89.77%
23,872,767,87.96%
24,660,580,87.88%
25,680,560,82.35%
26,673,619,91.98%
27,637,555,87.13%
28,745,621,83.36%
29,809,734,90.73%
30,786,619,78.75%
31,696,567,81.47%
32,664,637,95.93%
33,754,635,84.22%
34,723,642,88.80%
35,682,591,86.66%
36,715,598,83.64%
37,1036,885,85.42%
38,722,680,94.18%
39,586,497,84.81%
40,709,615,86.74%
Total,"27,909","24,058",86.20%
,,,
Ward 6,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,674,585,86.80%
2,696,555,79.74%
3,695,589,84.75%
4,625,522,83.52%
5,691,497,71.92%
6,663,539,81.30%
7,682,559,81.96%
8,663,554,83.56%
9,750,639,85.20%
10,637,492,77.24%
11,706,618,87.54%
12,802,609,75.94%
13,606,427,70.46%
14,734,572,77.93%
15,850,675,79.41%
16,686,556,81.05%
17,658,540,82.07%
18,666,515,77.33%
19,693,558,80.52%
20,657,467,71.08%
21,660,474,71.82%
22,686,469,68.37%
23,672,465,69.20%
24,642,459,71.50%
25,698,423,60.60%
26,694,492,70.89%
27,660,423,64.09%
28,643,439,68.27%
29,680,569,83.68%
30,720,589,81.81%
31,646,521,80.65%
32,703,544,77.38%
33,671,553,82.41%
34,667,552,82.76%
35,648,491,75.77%
36,637,552,86.66%
37,650,526,80.92%
38,655,544,83.05%
39,745,586,78.66%
40,666,543,81.53%
41,673,584,86.78%
42,658,568,86.32%
43,698,537,76.93%
44,713,575,80.65%
45,685,567,82.77%
46,712,521,73.17%
47,670,515,76.87%
48,686,550,80.17%
Total,"32,772","25,699",78.42%
,,,
Ward 7,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,633,508,80.25%
2,745,578,77.58%
3,615,530,86.18%
4,651,581,89.25%
5,751,503,66.98%
6,724,724,100.00%
7,747,583,78.05%
8,684,510,74.56%
9,950,876,92.21%
10,692,513,74.13%
11,679,613,90.28%
12,736,649,88.18%
13,519,433,83.43%
14,703,579,82.36%
15,708,550,77.68%
16,702,636,90.60%
17,656,552,84.15%
18,677,556,82.13%
19,681,532,78.12%
20,712,505,70.93%
21,699,569,81.40%
22,687,447,65.07%
23,653,522,79.94%
24,722,554,76.73%
25,717,459,64.02%
26,552,426,77.17%
27,652,487,74.69%
28,633,430,67.93%
29,644,457,70.96%
30,694,436,62.82%
31,795,582,73.21%
32,761,630,82.79%
33,742,609,82.08%
34,768,579,75.39%
35,758,538,70.98%
36,769,593,77.11%
37,755,581,76.95%
38,652,479,73.47%
39,690,496,71.88%
40,662,493,74.47%
41,706,543,76.91%
42,669,501,74.89%
43,679,512,75.41%
44,699,504,72.10%
45,762,574,75.33%
Total,"31,485","24,512",77.85%
,,,
Ward 8,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,693,521,75.18%
2,892,625,70.07%
3,654,536,81.96%
4,641,514,80.19%
5,682,547,80.21%
6,733,557,75.99%
7,764,612,80.10%
8,603,502,83.25%
9,446,364,81.61%
10,700,588,84.00%
11,639,499,78.09%
12,632,498,78.80%
13,797,674,84.57%
14,534,464,86.89%
15,690,543,78.70%
16,340,242,71.18%
17,517,423,81.82%
18,738,549,74.39%
19,736,563,76.49%
20,704,571,81.11%
21,903,724,80.18%
22,639,525,82.16%
23,677,523,77.25%
24,373,308,82.57%
25,715,554,77.48%
26,707,529,74.82%
27,672,548,81.55%
28,747,588,78.71%
29,845,644,76.21%
30,720,574,79.72%
31,571,432,75.66%
32,555,455,81.98%
33,689,544,78.96%
34,682,504,73.90%
35,710,596,83.94%
36,717,562,78.38%
37,517,443,85.69%
38,563,395,70.16%
39,648,505,77.93%
40,504,428,84.92%
41,684,576,84.21%
42,784,700,89.29%
43,432,344,79.63%
44,503,417,82.90%
45,721,643,89.18%
46,581,452,77.80%
47,595,455,76.47%
48,741,614,82.86%
49,681,531,77.97%
50,694,568,81.84%
51,653,525,80.40%
52,825,637,77.21%
53,426,350,82.16%
54,638,488,76.49%
55,396,333,84.09%
56,674,545,80.86%
Total,"36,317","28,951",79.72%
,,,
Ward 9,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,743,573,77.12%
2,662,495,74.77%
3,749,665,88.79%
4,628,437,69.59%
5,701,510,72.75%
6,679,504,74.23%
7,691,523,75.69%
8,858,648,75.52%
9,733,610,83.22%
10,674,499,74.04%
11,659,451,68.44%
12,733,590,80.49%
13,712,562,78.93%
14,756,599,79.23%
15,889,704,79.19%
16,683,479,70.13%
17,719,540,75.10%
18,661,461,69.74%
19,680,528,77.65%
20,709,554,78.14%
21,699,547,78.25%
22,654,529,80.89%
23,712,543,76.26%
24,712,571,80.20%
25,687,528,76.86%
26,794,660,83.12%
27,695,518,74.53%
28,669,329,49.18%
29,730,586,80.27%
30,661,474,71.71%
31,709,454,64.03%
32,724,525,72.51%
33,724,549,75.83%
34,734,493,67.17%
35,662,520,78.55%
36,666,492,73.87%
37,755,560,74.17%
38,659,530,80.42%
39,699,513,73.39%
40,785,574,73.12%
41,634,457,72.08%
42,696,548,78.74%
43,712,509,71.49%
44,601,421,70.05%
45,696,498,71.55%
46,761,600,78.84%
47,676,527,77.96%
48,690,532,77.10%
49,671,529,78.84%
50,742,637,85.85%
51,640,514,80.31%
Total,"35,968","27,199",75.62%
,,,
Ward 10,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,606,446,73.60%
2,680,460,67.65%
3,666,384,57.66%
4,795,458,57.61%
5,679,384,56.55%
6,604,360,59.60%
7,674,350,51.93%
8,654,480,73.39%
9,668,459,68.71%
10,671,438,65.28%
11,845,527,62.37%
12,426,231,54.23%
13,792,434,54.80%
14,861,546,63.41%
15,1256,941,74.92%
16,644,357,55.43%
17,845,560,66.27%
18,587,337,57.41%
19,700,409,58.43%
20,716,447,62.43%
21,785,443,56.43%
22,534,273,51.12%
23,720,435,60.42%
24,649,455,70.11%
25,255,151,59.22%
26,723,349,48.27%
27,963,602,62.51%
28,793,417,52.59%
29,677,379,55.98%
30,749,403,53.81%
31,720,369,51.25%
32,707,373,52.76%
33,551,289,52.45%
34,664,380,57.23%
35,729,491,67.35%
36,205,132,64.39%
Total,"24,793","14,949",60.30%
,,,
Ward 11,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,723,470,65.01%
2,655,133,20.31%
3,691,481,69.61%
4,735,446,60.68%
5,737,437,59.29%
6,763,642,84.14%
7,813,634,77.98%
8,766,454,59.27%
9,790,448,56.71%
10,617,301,48.78%
11,757,512,67.64%
12,745,543,72.89%
13,783,476,60.79%
14,775,462,59.61%
15,636,376,59.12%
16,674,382,56.68%
17,739,506,68.47%
18,705,428,60.71%
19,916,599,65.39%
20,725,465,64.14%
21,782,628,80.31%
22,710,461,64.93%
23,717,493,68.76%
24,710,547,77.04%
25,627,453,72.25%
26,557,413,74.15%
27,636,338,53.14%
28,707,419,59.26%
29,735,550,74.83%
30,757,420,55.48%
31,703,517,73.54%
32,435,332,76.32%
33,739,565,76.45%
34,311,230,73.95%
Total,"23,871","15,561",65.19%
,,,
Ward 12,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,634,403,63.56%
2,691,374,54.12%
3,718,494,68.80%
4,670,448,66.87%
5,679,392,57.73%
6,766,426,55.61%
7,779,370,47.50%
8,767,445,58.02%
9,651,344,52.84%
10,731,393,53.76%
11,771,384,49.81%
12,764,412,53.93%
13,732,435,59.43%
14,797,330,41.41%
15,776,360,46.39%
16,781,380,48.66%
17,757,402,53.10%
18,811,369,45.50%
19,649,376,57.94%
20,765,450,58.82%
21,703,437,62.16%
22,806,310,38.46%
23,662,395,59.67%
Total,"16,860","9,129",54.15%
,,,
Ward 13,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,393,341,86.77%
2,422,319,75.59%
3,394,272,69.04%
4,546,435,79.67%
5,560,414,73.93%
6,453,368,81.24%
7,414,307,74.15%
8,341,303,88.86%
9,520,398,76.54%
10,459,364,79.30%
11,528,396,75.00%
12,485,325,67.01%
13,493,389,78.90%
14,457,347,75.93%
15,611,508,83.14%
16,364,279,76.65%
17,431,344,79.81%
18,442,309,69.91%
19,528,411,77.84%
20,353,260,73.65%
21,573,452,78.88%
22,529,403,76.18%
23,364,302,82.97%
24,409,326,79.71%
25,500,360,72.00%
26,444,343,77.25%
27,422,343,81.28%
28,380,274,72.11%
29,364,308,84.62%
30,303,210,69.31%
31,573,395,68.94%
32,460,319,69.35%
33,441,340,77.10%
34,440,393,89.32%
35,384,310,80.73%
36,289,220,76.12%
37,471,379,80.47%
38,417,317,76.02%
39,454,359,79.07%
40,399,312,78.20%
41,479,368,76.83%
42,498,366,73.49%
43,438,369,84.25%
44,516,426,82.56%
45,494,396,80.16%
46,586,411,70.14%
47,511,382,74.76%
48,397,293,73.80%
Total,"21,729","16,765",77.15%
,,,
Ward 14,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,644,503,78.11%
2,788,528,67.01%
3,575,369,64.17%
4,582,431,74.05%
5,772,531,68.78%
6,262,158,60.31%
7,733,448,61.12%
8,705,412,58.44%
9,681,493,72.39%
10,429,302,70.40%
11,332,226,68.07%
12,576,388,67.36%
13,432,285,65.97%
14,521,347,66.60%
15,568,383,67.43%
16,475,306,64.42%
17,456,326,71.49%
18,262,173,66.03%
19,551,343,62.25%
20,406,257,63.30%
21,533,356,66.79%
22,749,455,60.75%
23,478,332,69.46%
24,661,496,75.04%
25,375,240,64.00%
26,415,253,60.96%
27,561,400,71.30%
28,454,315,69.38%
29,490,375,76.53%
30,327,205,62.69%
31,333,217,65.17%
Total,"16,126","10,853",67.30%
,,,
Ward 15,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,700,365,52.14%
2,696,460,66.09%
3,656,452,68.90%
4,689,350,50.80%
5,715,361,50.49%
6,790,395,50.00%
7,705,480,68.09%
8,660,340,51.52%
9,810,456,56.30%
10,770,496,64.42%
11,745,426,57.18%
12,662,403,60.88%
13,711,370,52.04%
14,681,304,44.64%
15,680,342,50.29%
16,721,374,51.87%
17,594,415,69.87%
18,688,493,71.66%
19,715,412,57.62%
20,722,469,64.96%
21,609,410,67.32%
22,742,522,70.35%
23,773,512,66.24%
24,691,480,69.46%
Total,"16,925","10,087",59.60%
,,,
Ward 16,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,724,447,61.74%
2,697,457,65.57%
3,684,491,71.78%
4,732,509,69.54%
5,684,509,74.42%
6,724,506,69.89%
7,734,496,67.57%
8,688,445,64.68%
9,716,574,80.17%
10,737,496,67.30%
11,712,520,73.03%
12,713,418,58.63%
13,707,441,62.38%
14,697,530,76.04%
15,779,533,68.42%
16,676,509,75.30%
17,736,474,64.40%
18,731,505,69.08%
19,718,481,66.99%
20,652,487,74.69%
21,718,493,68.66%
22,745,500,67.11%
23,700,331,47.29%
24,521,390,74.86%
25,672,501,74.55%
26,675,502,74.37%
27,688,496,72.09%
28,680,517,76.03%
29,702,466,66.38%
30,711,534,75.11%
31,661,488,73.83%
32,700,431,61.57%
33,675,514,76.15%
34,676,545,80.62%
35,741,472,63.70%
36,643,441,68.58%
Total,"25,149","17,449",69.38%
,,,
Ward 17,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,616,435,70.62%
2,784,608,77.55%
3,757,592,78.20%
4,754,657,87.14%
5,657,464,70.62%
6,720,457,63.47%
7,738,383,51.90%
8,746,544,72.92%
9,790,587,74.30%
10,743,581,78.20%
11,689,530,76.92%
12,762,570,74.80%
13,714,559,78.29%
14,742,535,72.10%
15,732,604,82.51%
16,742,514,69.27%
17,725,536,73.93%
18,706,543,76.91%
19,682,440,64.52%
20,737,600,81.41%
21,736,654,88.86%
22,709,519,73.20%
23,654,489,74.77%
24,757,599,79.13%
25,723,522,72.20%
26,748,587,78.48%
27,761,563,73.98%
28,666,553,83.03%
29,736,598,81.25%
30,641,403,62.87%
31,702,485,69.09%
32,688,509,73.98%
33,677,455,67.21%
34,673,461,68.50%
35,685,499,72.85%
36,671,538,80.18%
37,689,465,67.49%
38,800,607,75.88%
39,688,514,74.71%
40,723,529,73.17%
41,752,581,77.26%
Total,"29,415","21,869",74.35%
,,,
Ward 18,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,587,422,71.89%
2,644,421,65.37%
3,546,389,71.25%
4,620,496,80.00%
5,598,415,69.40%
6,519,397,76.49%
7,626,473,75.56%
8,610,497,81.48%
9,588,465,79.08%
10,668,542,81.14%
11,550,396,72.00%
12,575,501,87.13%
13,634,522,82.33%
14,631,503,79.71%
15,560,418,74.64%
16,627,501,79.90%
17,629,461,73.29%
18,612,450,73.53%
19,647,501,77.43%
20,600,476,79.33%
21,679,579,85.27%
22,683,581,85.07%
23,632,496,78.48%
24,595,407,68.40%
25,584,436,74.66%
26,648,540,83.33%
27,619,441,71.24%
28,594,407,68.52%
29,654,459,70.18%
30,598,433,72.41%
31,592,510,86.15%
32,659,509,77.24%
33,578,478,82.70%
34,667,549,82.31%
35,614,507,82.57%
36,610,414,67.87%
37,626,511,81.63%
38,615,465,75.61%
39,620,431,69.52%
40,606,523,86.30%
41,683,537,78.62%
42,633,451,71.25%
43,642,485,75.55%
44,574,397,69.16%
45,633,412,65.09%
46,601,468,77.87%
47,559,393,70.30%
48,572,430,75.17%
49,572,394,68.88%
50,593,480,80.94%
Total,"30,606","23,369",76.35%
,,,
Ward 19,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,522,457,87.55%
2,547,520,95.06%
3,469,406,86.57%
4,638,572,89.66%
5,548,508,92.70%
6,495,412,83.23%
7,541,496,91.68%
8,639,561,87.79%
9,388,321,82.73%
10,660,581,88.03%
11,612,497,81.21%
12,520,431,82.88%
13,668,639,95.66%
14,660,596,90.30%
15,491,425,86.56%
16,587,527,89.78%
17,532,459,86.28%
18,604,537,88.91%
19,594,536,90.24%
20,526,441,83.84%
21,619,491,79.32%
22,591,526,89.00%
23,596,528,88.59%
24,437,374,85.58%
25,547,496,90.68%
26,587,519,88.42%
27,549,501,91.26%
28,699,659,94.28%
29,529,438,82.80%
30,566,495,87.46%
31,479,437,91.23%
32,546,480,87.91%
33,618,514,83.17%
34,513,462,90.06%
35,487,427,87.68%
36,755,724,95.89%
37,536,490,91.42%
38,493,462,93.71%
39,255,248,97.25%
40,589,533,90.49%
41,617,526,85.25%
42,456,438,96.05%
43,818,764,93.40%
44,690,589,85.36%
45,538,465,86.43%
46,632,548,86.71%
47,735,667,90.75%
48,796,773,97.11%
49,651,599,92.01%
50,455,428,94.07%
51,611,564,92.31%
52,484,376,77.69%
53,511,447,87.48%
54,509,431,84.68%
55,579,505,87.22%
56,582,532,91.41%
57,634,568,89.59%
58,530,470,88.68%
Total,"33,060","29,416",88.98%
,,,
Ward 20,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,644,540,83.85%
