Ward,Precinct,Registered Voters,Ballots Cast,Turnout
1,1,1409,1192,84.60%
1,2,1378,1154,83.74%
1,3,1506,1224,81.27%
1,4,1498,1296,86.52%
1,5,1501,1247,83.08%
1,6,1291,1056,81.80%
1,7,1472,1234,83.83%
1,8,1317,1115,84.66%
1,9,851,705,82.84%
1,10,1634,1440,88.13%
1,11,1613,1200,74.40%
1,12,701,613,87.45%
1,13,1060,887,83.68%
1,14,940,788,83.83%
1,15,1471,1301,88.44%
1,16,1489,1270,85.29%
1,17,902,809,89.69%
1,18,1442,1216,84.33%
1,19,1285,1056,82.18%
1,20,1214,1068,87.97%
1,21,1269,1160,91.41%
1,22,1719,1485,86.39%
1,23,879,753,85.67%
1,24,1736,1414,81.45%
1,25,1742,1375,78.93%
1,26,1559,1282,82.23%
2,1,1632,1328,81.37%
2,2,1674,1399,83.57%
2,3,1237,1108,89.57%
2,4,1367,1164,85.15%
2,5,1336,1217,91.09%
2,6,1586,1359,85.69%
2,7,1411,1250,88.59%
2,8,1103,916,83.05%
2,9,1594,1313,82.37%
2,10,1037,740,71.36%
2,11,1264,1131,89.48%
2,12,1199,1075,89.66%
2,13,1636,1442,88.14%
2,14,909,865,95.16%
2,15,1263,1057,83.69%
2,16,1281,1121,87.51%
2,17,1791,1620,90.45%
2,18,1238,1079,87.16%
2,19,708,638,90.11%
2,20,788,769,97.59%
2,21,252,238,94.44%
2,22,1131,967,85.50%
2,23,1240,1006,81.13%
2,24,842,713,84.68%
2,25,1457,1237,84.90%
3,1,1631,1028,63.03%
3,2,1168,919,78.68%
3,3,1244,820,65.92%
3,4,1036,779,75.19%
3,5,380,202,53.16%
3,6,1440,1071,74.38%
3,7,691,564,81.62%
3,8,1511,933,61.75%
3,9,830,680,81.93%
3,10,823,693,84.20%
3,11,1748,1196,68.42%
3,12,1502,1037,69.04%
3,13,1431,1216,84.98%
3,14,1743,1430,82.04%
3,15,1340,868,64.78%
3,16,613,511,83.36%
3,17,574,293,51.05%
3,18,862,383,44.43%
3,19,1655,1398,84.47%
3,20,1257,936,74.46%
3,21,1234,1040,84.28%
3,22,947,792,83.63%
3,23,896,517,57.70%
3,24,474,241,50.84%
3,25,1662,1334,80.26%
3,26,1984,610,30.75%
3,27,1428,1163,81.44%
4,1,1509,1300,86.15%
4,2,732,513,70.08%
4,3,970,801,82.58%
4,4,1239,981,79.18%
4,5,621,445,71.66%
4,6,990,686,69.29%
4,7,638,501,78.53%
4,8,734,588,80.11%
4,9,1343,826,61.50%
4,10,925,682,73.73%
4,11,1162,912,78.49%
4,12,755,594,78.68%
4,13,893,635,71.11%
4,14,796,589,73.99%
4,15,783,536,68.45%
4,16,1148,777,67.68%
4,17,1803,1127,62.51%
4,18,746,368,49.33%
4,19,809,638,78.86%
4,20,1098,840,76.50%
4,21,662,551,83.23%
4,22,365,282,77.26%
4,23,660,522,79.09%
4,24,1404,1031,73.43%
4,25,1654,1459,88.21%
4,26,1327,1082,81.54%
4,27,1513,1387,91.67%
4,28,1610,1418,88.07%
5,1,1496,908,60.70%
5,2,1524,1078,70.73%
5,3,1582,1010,63.84%
5,4,1532,914,59.66%
5,5,405,314,77.53%
5,6,555,376,67.75%
5,7,519,252,48.55%
5,8,525,344,65.52%
5,9,432,279,64.58%
5,10,865,480,55.49%
5,11,1275,700,54.90%
5,12,1028,983,95.62%
5,13,642,427,66.51%
5,14,747,491,65.73%
5,15,1758,1538,87.49%
5,16,1060,942,88.87%
5,17,692,611,88.29%
5,18,1565,1405,89.78%
5,19,607,545,89.79%
5,20,1065,969,90.99%
5,21,1019,941,92.35%
5,22,1255,1080,86.06%
5,23,581,528,90.88%
5,24,555,922,166.13%
5,25,1654,1500,90.69%
6,1,748,340,45.45%
6,2,687,416,60.55%
6,3,314,127,40.45%
6,4,750,317,42.27%
6,5,1050,513,48.86%
6,6,988,492,49.80%
6,7,1055,597,56.59%
6,8,848,439,51.77%
6,9,1533,806,52.58%
6,10,1099,546,49.68%
6,11,573,229,39.97%
6,12,1205,609,50.54%
6,13,1063,698,65.66%
6,14,1307,731,55.93%
