Ward,Precinct,Registered Voters,Ballots Cast,Turnout
1,1,1002,827,82.53%
1,2,858,656,76.46%
1,3,987,881,89.26%
1,4,1054,848,80.46%
1,5,944,801,84.85%
1,6,899,673,74.86%
1,7,625,516,82.56%
1,8,855,704,82.34%
1,9,673,527,78.31%
1,10,1118,932,83.36%
1,11,952,854,89.71%
1,12,1122,905,80.66%
1,13,444,365,82.21%
1,14,823,736,89.43%
1,15,866,661,76.33%
1,16,921,793,86.10%
1,17,838,635,75.78%
1,18,949,708,74.60%
1,19,1070,839,78.41%
1,20,707,546,77.23%
1,21,1284,1095,85.28%
1,22,622,495,79.58%
1,23,1098,923,84.06%
1,24,982,660,67.21%
1,25,906,705,77.81%
1,26,740,492,66.49%
1,27,985,808,82.03%
1,28,381,265,69.55%
1,29,1092,945,86.54%
1,30,1029,812,78.91%
1,31,893,678,75.92%
1,32,842,701,83.25%
1,33,1051,838,79.73%
1,34,666,570,85.59%
1,35,1149,911,79.29%
1,36,983,840,85.45%
1,37,889,763,85.83%
1,38,892,723,81.05%
1,39,824,618,75.00%
1,40,878,706,80.41%
1,41,518,415,80.12%
1,42,273,234,85.71%
1,43,576,465,80.73%
1,44,757,662,87.45%
2,1,1023,855,83.58%
2,2,616,538,87.34%
2,3,996,850,85.34%
2,4,860,753,87.56%
2,5,1089,890,81.73%
2,6,899,785,87.32%
2,7,1291,703,54.45%
2,8,1194,945,79.15%
2,9,865,751,86.82%
2,10,660,555,84.09%
2,11,864,741,85.76%
2,12,800,634,79.25%
2,13,686,600,87.46%
2,14,897,759,84.62%
2,15,898,710,79.06%
2,16,841,710,84.42%
2,17,982,833,84.83%
2,18,797,675,84.69%
2,19,586,493,84.13%
2,20,1167,1011,86.63%
2,21,920,777,84.46%
2,22,899,804,89.43%
2,23,549,477,86.89%
2,24,817,696,85.19%
2,25,942,844,89.60%
2,26,856,675,78.86%
2,27,777,662,85.20%
2,28,954,877,91.93%
2,29,959,834,86.97%
2,30,682,618,90.62%
2,31,930,829,89.14%
2,32,665,626,94.14%
2,33,1107,1017,91.87%
2,34,619,531,85.78%
2,35,1151,991,86.10%
